student_id, scoala, math, limba romana, limba materna, medie, media materna
B10002739, Şcoala Gimnazială nr. 162, 3.65, 3.05, -, 3.35, 0
B10003081, Școala Gimnazială "Liviu Rebreanu", 4.70, 4.60, -, 4.65, 0
B10006994, Şcoala Gimnazială "Ion I.C. Brătianu", 2.45, 5.00, -, 3.73, 0
B10015014, Liceul ''Româno-Finlandez'', 8.65, 9.15, -, 8.9, 0
B10021298, Liceul Teoretic "Ștefan Odobleja", 8.80, 5.35, -, 7.08, 0
B10021423, Școala Gimnazială "Mexic", 3.70, 6.20, -, 4.95, 0
B10046151, Liceul cu Program Sportiv "Mircea Eliade", 5.25, 5.60, -, 5.42, 0
B10055891, Școala Gimnazială nr. 149, 5.30, 4.60, -, 4.95, 0
B10058345, Şcoala Gimnazială nr. 126, 5.00, 2.00, -, 3.5, 0
B10058699, Şcoala Gimnazială nr. 150, 8.45, 7.65, -, 8.05, 0
B10058866, Şcoala Gimnazială nr. 150, 8.35, 7.80, -, 8.07, 0
B10059033, Şcoala Gimnazială nr. 150, 8.80, 9.60, -, 9.2, 0
B10059127, Liceul Teoretic Internațional de Informatică Bucuresti, 9.60, 9.95, -, 9.77, 0
B10059212, Liceul Teoretic Internațional de Informatică Bucuresti, 9.55, 10.00, -, 9.78, 0
B10059311, Colegiul Naţional "Gheorghe Lazăr", 9.50, 9.60, -, 9.55, 0
B10059486, Colegiul Economic "Costin C. Kiriţescu", 8.00, 7.20, -, 7.6, 0
B10059662, Şcoala Gimnazială nr. 150, 6.55, 6.75, -, 6.65, 0
B10059831, Şcoala Gimnazială nr. 150, 9.80, 10.00, -, 9.9, 0
B10060120, Şcoala Gimnazială nr. 150, 9.05, 7.60, -, 8.32, 0
B10060467, Şcoala Gimnazială nr. 150, 10.00, 8.55, -, 9.28, 0
B10060660, Colegiul Naţional "Ion Neculce", 8.70, 6.70, -, 7.7, 0
B10061072, Colegiul Naţional "Grigore Moisil", 10.00, 10.00, -, 10.0, 0
